Nombre;Email;Canal;Instagram / Web;Notas
Amores Tintos (Gorriti + Soler);amorestintos@gmail.com;Email;;Ambas sucursales
Burger Couple - La Chupeteria;burgercouplecompany@gmail.com;Email;;
Cang Tin;cangtin.dorrego@gmail.com;Email;;Restaurante vietnamita-tailandés
Casa Munay;hola@casamunay.com;Email;;Vegetariano - Palermo
Club de la Birra;info@clubdelabirra.com.ar;Email;;Múltiples sucursales
Dean & Dennys;info@deananddennys.com;Email;;Cadena - múltiples sucursales
Dulce María;dulcemariadeli@gmail.com;Email;;Deli - Martínez
Fulano Bar;redes.fulanobar@gmail.com;Email;;Boedo
Gontran Cherrier;comercial@gcherrier.com;Email;;Usar email comercial para propuestas
KOI Beer & Dumplings;contacto@koidumplings.com;Email;;Múltiples sucursales
Lo de Lalo;consultas@lodelalo.com.ar;Email;;Parrilla - Núñez
Mercado San Telmo;elmercadodesantelmo@gmail.com;Email;;
Minga Café-Resto-Bar;Minga.Cafe.Resto.Bar@gmail.com;Email;;Palermo
Ninina;info@ninina.com;Email;;Bakery - múltiples sucursales
NORTE Pulpería;pulperianorte@gmail.com;Email;;Martínez
Piénsate Bravo - Axe Bar;piensatebravo.axebar@gmail.com;Email;;
Saigón Noodle Bar;info@saigonargentina.com;Email;;3 sucursales (Retiro / Palermo / San Telmo)
Selvático;info@selvatica.com.ar;Email;;Pilar
T.G.I. Fridays;hola@tgifridaysargentina.com.ar;Email;;Puerto Madero
Tostado Café Club;info@tostadocafeclub.com;Email;;Cadena - múltiples sucursales
Aguirre 700;;Instagram;@aguirre.700;
Baum Palermo Soho;;Instagram;@baum.palermo;
BOCHA;;Instagram;@bochapolo;Polo gastronómico - Palermo
Bodegón de las Abuelas;;Teléfono;;Sin presencia digital visible
Bracos Cafe Resto;;Instagram;@bracobarcafe;
Cantina Mandia;;Instagram;;Sin email público
Casa Estomba;;Instagram;@casaestomba;
Chez Janu;;Instagram;@chezjanu;
Coma Veggie;;Instagram;;Sin email público
Crepas París;;Instagram;;Sin email público
El Patio Lanusita;;Instagram;@elpatioba;
Feriado Cantina Coghlan;;Instagram;@feriadocantina;
Fiorentina Caffé e Focaccia;;Instagram;@fiorentina.caffe;
Foderone Trattoria;;Instagram;@foderone.trattoria;Pilar
Good Joe Coffee;;Web;goodjoe.coffee/contact;
Hefesto Parrilla;;Instagram;@hefesto.restaurant;
Hierbabuena;;Web;hierbabuenarestaurante.com;
Kanka Parrilla;;Instagram;@kankacocina;
La Manteca Negra;;Instagram;@lamantecanegra;Solo responden por Instagram
Lirondo;;Instagram;@lirondocultural;
Mad Pasta House;;Web;madpastacompany.com.ar/contacto;
Mercat Caballito / Villa Crespo;;Instagram;;Sin email público
Merci;;Instagram;@mercisantelmo;
Minga Parrilla;;Web;mingaparrilla.com.ar;
On Tap;;Instagram;@ontapbsas;Múltiples sucursales
Periplo Harbor;;Web;periploharbor.com;Benavídez
ProVinCia Vinoteca;;Instagram;@pro.vin.cia;
Roldán Cocina;;Instagram;@roldancocina;
Selena Cocina;;Web;selena.ar;
Strange Brewing;;Instagram;@strangebrewin;
Temple San Isidro;;Instagram;;Sin email público
Theos Souvlaki;;Instagram;@theos.souvlaki;
Williamsburg Burger Bar;;Web;williamsburgba.com;Múltiples sucursales
An Café & Viet Bistró;;Sin info;;No encontrado
Arredondo;;Sin info;;No encontrado
BAR NAPOLES;;Sin info;;No encontrado
Baum Adrogué;;Sin info;;No encontrado
Casa Barro;;Sin info;;No encontrado
El Pollo Gómez;;Sin info;;No encontrado
Faizan;;Sin info;;No encontrado
Infanta;;Sin info;;No encontrado
La Tía Ñata Resté Grill;;Sin info;;No encontrado
Patio de los Lecheros;;Sin info;;No encontrado
